n,f(n), digit_number
313,115783425999770513860373944643635095356961600163955231274253486033,66
314,187341518601536966291015050946540312701895836604078191803255601777,66
315,303124944601307480151388995590175408058857436768033423077509087810,66
316,490466463202844446442404046536715720760753273372111614880764689587,66
317,793591407804151926593793042126891128819610710140145037958273777397,66
318,1284057871006996373036197088663606849580363983512256652839038466984,67
319,2077649278811148299629990130790497978399974693652401690797312244381,67
320,3361707149818144672666187219454104827980338677164658343636350711365,67
321,5439356428629292972296177350244602806380313370817060034433662955746,67
322,8801063578447437644962364569698707634360652047981718378070013667111,67
323,14240420007076730617258541919943310440740965418798778412503676622857,68
324,23041483585524168262220906489642018075101617466780496790573690289968,68
325,37281903592600898879479448409585328515842582885579275203077366912825,68
326,60323387178125067141700354899227346590944200352359771993651057202793,68
327,97605290770725966021179803308812675106786783237939047196728424115618,68
328,157928677948851033162880158208040021697730983590298819190379481318411,69
329,255533968719576999184059961516852696804517766828237866387107905434029,69
330,413462646668428032346940119724892718502248750418536685577487386752440,69
331,668996615388005031531000081241745415306766517246774551964595292186469,69
332,1082459262056433063877940200966638133809015267665311237542082678938909,70
333,1751455877444438095408940282208383549115781784912085789506677971125378,70
334,2833915139500871159286880483175021682924797052577397027048760650064287,70
335,4585371016945309254695820765383405232040578837489482816555438621189665,70
336,7419286156446180413982701248558426914965375890066879843604199271253952,70
337,12004657173391489668678522013941832147005954727556362660159637892443617,71
338,19423943329837670082661223262500259061971330617623242503763837163697569,71
339,31428600503229159751339745276442091208977285345179605163923475056141186,71
340,50852543833066829834000968538942350270948615962802847667687312219838755,71
341,82281144336295989585340713815384441479925901307982452831610787275979941,71
342,133133688169362819419341682354326791750874517270785300499298099495818696,72
343,215414832505658809004682396169711233230800418578767753330908886771798637,72
344,348548520675021628424024078524038024981674935849553053830206986267617333,72
345,563963353180680437428706474693749258212475354428320807161115873039415970,72
346,912511873855702065852730553217787283194150290277873860991322859307033303,72
347,1476475227036382503281437027911536541406625644706194668152438732346449273,73
348,2388987100892084569134167581129323824600775934984068529143761591653482576,73
349,3865462327928467072415604609040860366007401579690263197296200323999931849,73
350,6254449428820551641549772190170184190608177514674331726439961915653414425,73
351,10119911756749018713965376799211044556615579094364594923736162239653346274,74
352,16374361185569570355515148989381228747223756609038926650176124155306760699,74
353,26494272942318589069480525788592273303839335703403521573912286394960106973,74
354,42868634127888159424995674777973502051063092312442448224088410550266867672,74
355,69362907070206748494476200566565775354902428015845969798000696945226974645,74
356,112231541198094907919471875344539277405965520328288418022089107495493842317,75
357,181594448268301656413948075911105052760867948344134387820089804440720816962,75
358,293825989466396564333419951255644330166833468672422805842178911936214659279,75
359,475420437734698220747368027166749382927701417016557193662268716376935476241,75
360,769246427201094785080787978422393713094534885688979999504447628313150135520,75
361,1244666864935793005828156005589143096022236302705537193166716344690085611761,76
